Name,Curisine
Pastry hearts,American
Peanut butter cookies,American
pralines,American
Persimmon pudding,American
Pistachio pudding,American
Red velvet cake,American
Rice Krispie treat,American
Rice pudding,American
Scotcheroos,American
Shave ice,American
S'more,American
Smith Island cake,American
Snack cake,American
Snickerdoodles,American
Snickers salad,American
Sopaipilla,American
Stack cake,American
Strawberry Delight,American
Strawberry shortcake,American
Sundae,American
Tapioca pudding,American
Tipsy cake,American
Twinkie,American
Waldorf pudding,American
Watergate salad,American
Whoopie pie,American
Apple crisp,American
Apple pie,American
Bean pie,American
Black bottom pie,American
Blackberry pie,American
Blueberry pie,American
Bob Andy pie,American
Buttermilk pie,American
Cherry pie,American
Chess pie,American
Chiffon pie,American
Cream pie,American
Derby pie,American
Fried pie,American
Grape pie,American
Grasshopper pie,American
Huckleberry,American
Jefferson Davis pie,American
Jelly cream pie,American
Key lime pie,American
Lemon ice box pie,American
Maraca pie,American
Mississippi mud pie,American
Pecan pie,American
Pot pie,American
Pumpkin pie,American
Rhubarb pie,American
Shaker Lemon Pie,American
Shoofly pie,American
Strawberry rhubarb pie,American
Sweet potato pie,American
Almond cookie,Chinese
Almond jelly,Chinese
Banana roll,Chinese
Black sesame roll,Chinese
Black sesame soup,Chinese
Chao hong guo,Chinese
Chinese bakery products,Chinese
Chongyang Cake,Chinese
Coconut bar,Chinese
Crystal cake,Chinese
Custard tart,Chinese
Cut cake,Chinese
Douhua,Chinese
Dragon's beard candy,Chinese
Egg tart,Chinese
Egg tong sui,Chinese
Eggies,Chinese
Fried ice cream,Chinese
Funing big cake,Chinese
Ginger milk curd,Chinese
Grass jelly,Chinese
Guilinggao,Chinese
Hasma,Chinese
Huangqiao sesame cake,Chinese
Jiuniang,Chinese
Kai kou xiao,Chinese
Lotus seed paste,Chinese
Mahua,Chinese
Mango pudding,Chinese
Mi san dao,Chinese
Mooncake,Chinese
Nai lao,Chinese
Nian gao,Chinese
Nuomici,Chinese
Orange jelly candy,Chinese
Pandan cake,Chinese
Put chai ko,Chinese
Red bean cake,Chinese
Red bean soup,Chinese
Rice pudding,Chinese
Rooster olives,Chinese
Sachima,Chinese
Song gao,Chinese
Sugar painting,Chinese
Sweet potato soup,Chinese
Sweetheart cake,Chinese
Tanghulu,Chinese
Tangyuan,Chinese
Tapioca pudding,Chinese
Tong sui,Chinese
White Rabbit Creamy Candy,Chinese
White sugar sponge cake,Chinese
Xi gua lao,Chinese
