Title,Year
The Inhabitants,-2015
[Rec],-2007
Girl House,-2014
The Woman in Black 2: Angel of Death,-2014
Devil,-2010
Dead Silence,-2007
American Mary,-2012
The Woman,-2011
Berkshire County,-2014
From Hell,-2001
Martyrs,-2008
V/H/S,-2012
An American Werewolf in London,-1981
Saw 3D: The Final Chapter,-2010
Resident Evil: Extinction,-2007
Night of the Living Dead,-1968
The Cell,-2000
Pitch Black,-2000
Hostel: Part II,-2007
Doom,-2005
They Live,-1988
Priest,-2011
New Nightmare,-1994
Frankenweenie,-2012
Nosferatu,-1922
Christine,-1983
Clown,-2014
The Thing,-2011
Yakuza Apocalypse,-2015
Aftershock,-2012
The Unborn,-2009
Cujo,-1983
The Human Centipede II (Full Sequence),-2011
Dark Skies,-2013
The Roommate,-2011
The Grudge,-2004
The Last House on the Left,-1972
The Messenger,-2015
The Invitation,-2015
Mimic,-1997
The Wicker Man,-2006
Green Room,-2015
Frankenstein,-1931
Halloween Returns,-2017
The Hive,-2015
Final Destination 5,-2011
The Wolfman,-2010
My Bloody Valentine,-2009
Jeepers Creepers II,-2003
What Lies Beneath,-2000
Knowing,-2009
Splice,-2009
Saw III,-2006
Demonic,-2015
Piranha 3D,-2010
House on Haunted Hill,-1999
Byzantium,-2012
Sharknado,-2013
Little Shop of Horrors,-1986
A Nightmare on Elm Street 2: Freddy's Revenge,-1985
They Found Hell,-2015
The Hunchback of Notre Dame,-1939
The Houses October Built,-2014
Jeepers Creepers III,-2017
The Covenant,-2006
I Still Know What You Did Last Summer,-1998
A Nightmare on Elm Street 3: Dream Warriors,-1987
Eden Lake,-2008
Devil's Pass,-2013
Friday the 13th Part 2,-1981
World War Z 2,-2017
Zombeavers,-2014
Planet Terror,-2007
The Ouija Exorcism,-2015
Bastard,-2015
The Skeleton Key,-2005
Dawn of the Dead,-1978
The Gift,-2000
Case 39,-2009
Exeter,-2015
Candyman,-1992
Trollhunter,-2010
Final Destination 3,-2006
Dr. Jekyll and Mr. Hyde,-1941
The Cat and the Canary,-1939
The Rite,-2011
31,-2016
Dreamcatcher,-2003
Dracula,-1931
Sorority Row,-2009
The Haunting,-1999
The Jacket,-2005
Stir of Echoes,-1999
Before I Wake,-2015
Mirrors,-2008
Freaks,-1932
The Final Destination,-2009
Anaconda,-1997
Ghost Ship,-2002
Red State,-2011
Amityville: The Awakening,-2016
The Harvest,-2013
Cronos,-1993
The Wicker Man,-1973
Bloodsucking Bastards,-2015
Life After Beth,-2014
Spawn,-1997
Backcountry,-2014
All Cheerleaders Die,-2013
I Saw the Devil,-2010
We Are What We Are,-2013
The Neon Demon,-2016
Wyrmwood: Road of the Dead,-2014
I Spit on Your Grave,-1978
Don't Be Afraid of the Dark,-2010
Kristy,-2014
House at the End of the Street,-2012
Starry Eyes,-2014
Saw IV,-2007
The People Under the Stairs,-1991
Jacob's Ladder,-1990
Saw VI,-2009
Grave Encounters,-2011
Scary Movie 4,-2006
Eraserhead,-1977
The Purge 3,-2016
Jessabelle,-2014
Saw VIII,-2017
The Dead Zone,-1983
Shocker,-1989
Killer Klowns from Outer Space,-1988
Hide and Seek,-2005
Ghosts of Mars,-2001
The Hoarder,-2015
Species,-1995
Vampires,-1998
Jaws 19,-2015
Re-Animator,-1985
Gremlins 2: The New Batch,-1990
Friday the 13th,-2017
Queen of the Damned,-2002
The Town That Dreaded Sundown,-2014
Haunt,-2014
The Dark Tower,-2017
Djinn,-2013
Buffy the Vampire Slayer,-1992
Saw V,-2008
The Last of Us,-2017
The Atticus Institute,-2015
Julia,-2014
Vacancy,-2007
The Ward,-2010
Piranha 3DD,-2012
Freddy's Dead: The Final Nightmare,-1991
The Last Days on Mars,-2013
The Lords of Salem,-2012
The Bad Seed,-1956
Dracula: The Impaler,-2013
The Return of the Living Dead,-1985
Scooby-Doo 2: Monsters Unleashed,-2004
The ABCs of Death,-2012
Dead Alive,-1992
Twin Peaks: Fire Walk with Me,-1992
All Hallows' Eve 2,-2015
Dark Summer,-2015
The Omen,-2006
Twilight Zone: The Movie,-1983
Maniac,-2012
Gothika,-2003
The Haunting in Connecticut,-2009
The Fog,-1980
Wrong Turn 6: Last Resort,-2014
Darkness Falls,-2003
The Quiet Ones,-2014
Audition,-1999
Daybreakers,-2009
The Girl Next Door,-2007
Idle Hands,-1999
The Collector,-2009
Devil's Due,-2014
Final Destination 2,-2003
In the Mouth of Madness,-1994
Night of the Creeps,-1986
The Possession,-2012
The House of the Devil,-2009
Tales from the Crypt: Demon Knight,-1995
The Island of Dr. Moreau,-1996
13 Sins,-2014
Haunter,-2013
Silver Bullet,-1985
Dracula 2000,-2000
Friday the 13th: The Final Chapter,-1984
Bride of Frankenstein,-1935
Invasion of the Body Snatchers,-1978
Intruders,-2011
Quarantine,-2008
V/H/S/2,-2013
Fire City: End of Days,-2015
Session 9,-2001
Land of the Dead,-2005
Contracted,-2013
Nightbreed,-1990
Amityville 3-D,-1983
Nurse 3D,-2013
Tales from the Darkside: The Movie,-1990
John Dies at the End,-2012
The Canal,-2014
Nocturna,-2015
The Witches of Eastwick,-1987
When a Stranger Calls,-2006
Always Watching: A Marble Hornets Story,-2015
Aliens vs. Predator: Requiem,-2007
An American Haunting,-2005
Fury: The Tales of Ronan Pierce,-2014
Hellions,-2015
The Host,-2006
Pumpkinhead,-1988
Vampyros Lesbos,-1971
The Relic,-1997
Suspiria,-1977
The Haunting in Connecticut 2: Ghosts of Georgia,-2013
Wolf Creek,-2005
Wolves,-2014
Funny Games,-1997
Rubber,-2010
The Cave,-2005
All Hallows' Eve,-2013
The Cabinet of Dr. Caligari,-1920
High Tension,-2003
Firestarter,-1984
Silent House,-2011
Lake Placid,-1999
The Hills Have Eyes II,-2007
Repulsion,-1965
Stay Alive,-2006
Night of the Living Dead,-1990
Child's Play 3,-1991
Black Death,-2010
The Pact,-2012
Child's Play 2,-1990
The Haunting of Molly Hartley,-2008
Pontypool,-2008
Friday the 13th Part III,-1982
A Haunted House 2,-2014
Straw Dogs,-2011
Excision,-2012
Prince of Darkness,-1987
Cassadaga,-2011
Pernicious,-2014
Predator 2,-1990
The Hole,-2001
Village of the Damned,-1995
The Loved Ones,-2009
Old 37,-2015
Pink Flamingos,-1972
Dead Snow 2: Red vs. Dead,-2014
Scrawl,-2015
The Blood Lands,-2014
Jaws 2,-1978
The Changeling,-1980
The Mothman Prophecies,-2002
The Collection,-2012
Prom Night,-2008
Urban Legend,-1998
Some Kind of Hate,-2015
The Sacrament,-2013
Feast,-2005
Maximum Overdrive,-1986
Death Game,-1977
Psycho,-1998
The Haunting,-1963
A Nightmare on Elm Street 4: The Dream Master,-1988
Harbinger Down,-2015
The Fog,-2005
The Ring Two,-2005
Detention,-2011
The Prophecy,-1995
End of Days,-1999
Inside,-2007
Dead Snow,-2009
The Colony,-2013
The Brood,-1979
The Descent: Part 2,-2009
