Title,Year
The Girl in the Photographs,-2015
Roger Corman's Frankenstein Unbound,-1990
Grace,-2014
The Haunting of Whaley House,-2012
The Bell Witch Haunting,-2013
Primal,-2010
Nine Dead,-2010
Wasteland,-2013
Troll,-1986
Mega Shark vs. Kolossus,-2015
Why Don't You Play in Hell?,-2013
Piranhaconda,-2012
Be My Cat: A Film for Anne,-2015
Nothing Left to Fear,-2013
Grizzly,-1976
Cam2Cam,-2014
A Cure for Wellness,-2016
Cat People,-1942
Here Comes the Devil,-2012
Hatchet II,-2010
Dr. Jekyll and Mr. Hyde,-2016
Children of the Corn II: The Final Sacrifice,-1992
Treehouse,-2014
Maniac,-1980
Lake Placid: The Final Chapter,-2012
The Strange Color of Your Body's Tears,-2013
The Hollow,-2015
Zombie Apocalypse,-2011
Blood Lake: Attack of the Killer Lampreys,2014
The New Daughter,-2009
Jack & Diane,-2012
Amusement,-2008
White Noise 2: The Light,-2007
Alice,-1988
Fright Night Part 2,-1988
The Seventh Sign,-1988
BloodRayne: The Third Reich,-2011
Resident Evil: Degeneration,-2008
Lost Time,-2014
Dahmer,-2002
Debug,-2014
The Pit and the Pendulum,-1991
The Hidden,-1987
I Know What You Did Last Summer,-2017
The Drownsman,-2014
Witchboard,-1986
2001 Maniacs,-2005
Wendigo,-2001
Underground,-2011
Sleepaway Camp II: Unhappy Campers,-1988
Sleepaway Camp III: Teenage Wasteland,-1989
Deadly Blessing,-1981
Found,-2012
Eaten Alive!,-1980
Curse of the Witching Tree,-2015
Maniac Cop,-1988
Dread,-2009
Dr. Jekyll and Mr. Hyde,-1920
Dark Woods,-2003
Echoes,-2014
Nightwatch,-1997
Lake Placid 3,-2010
Dominion: Prequel to the Exorcist,-2005
Attack of the Killer Tomatoes!,-1978
Blackwood,-2014
Eaten Alive,-1976
Final Prayer,-2013
Strangeland,-1998
The Woods,-2006
City of the Living Dead,-1980
III,-2015
Resident Evil: Damnation,-2012
The Hunters,-2011
The Bunny Game,-2010
Clownhouse,-1989
Don't Look Back,-2009
Hansel vs. Gretel,-2015
The Crazies,-1973
Hell,-2011
Kidnapped,-2010
Nightlight,-2015
Murder Party,-2007
The Wizard of Gore,-2007
100 Feet,-2008
Styria,-2014
Starve,-2014
Strange Blood,-2015
Tales from the Crypt,-1972
Dagon,-2001
Cold Fish,-2010
Gothic,-1986
Girls Gone Dead,-2012
Toxin,-2015
Night of the Living Deb,-2015
Blood Glacier,-2013
Altitude,-2010
The Mirror,-2014
Deadly Friend,-1986
Doghouse,-2009
Embrace of the Vampire,-1995
Thale,-2012
Let's Scare Jessica to Death,-1971
This Island Earth,-1955
Disaster L.A.,-2014
The House on Sorority Row,-1983
sxtape,-2013
Dracula 3000,-2004
Mulberry St,-2006
Shivers,-1975
Carrie,-2002
The Ouija Experiment 2: Theatre of Death,-2015
Sisters,-1973
Three... Extremes,-2004
Dead Before Dawn 3D,-2012
Basket Case,-1982
Inner Demons,-2014
Forget Me Not,-2009
The Scream Team,-2002
Inbred,-2011
Patchwork,-2015
Home Movie,-2008
Butcher Boys,-2012
Ilsa: She Wolf of the SS,-1975
The Moth Diaries,-2011
Repentance,-2013
The Haunted World of El Superbeasto,-2009
Jersey Shore Massacre,-2014
Zombie Nation,-2005
Blood Moon,-2014
6 Miranda Drive,-2016
Like Minds,-2006
The House by the Cemetery,-1981
Detention of the Dead,-2012
The Dorm,-2014
Rabid,-1977
Boogeyman 2,-2007
Urban Legends: Final Cut,-2000
Quarantine 2: Terminal,-2011
Dark Awakening,-2014
Indigenous,-2014
The Tingler,-1959
Silent Hill: Genesis,-2015
I Survived a Zombie Holocaust,-2014
The Human Race,-2013
Happy Birthday to Me,-1981
Paranormal Island,-2014
Necronomicon: Book of Dead,-1993
Poultrygeist: Night of the Chicken Dead,-2006
The Slender Man,-2015
The Curse of the Mummy's Tomb,-1964
Mr. Sardonicus,-1961
Summer Camp,-2015
Split Second,-1992
It Came from Beneath the Sea,-1955
The Alligator People,-1959
Anarchy Parlor,-2014
TerrorVision,-1986
Suicide Club,-2001
Closer to God,-2014
Evil Feed,-2013
Haunted,-1995
Pulse,-2001
Murder in the Dark,-2013
At the Mountains of Madness,-2017
The Dark Half,-1993
Southbound,-2015
The Depraved,-2011
The Killing Gene,-2007
Children of the Damned,-1964
Spiders,-2013
Hunger,-2009
Lights Out,-2016
The Devil's Carnival,-2012
Tourist Trap,-1979
Eat,-2014
Eloise,-2015
"Tetsuo, the Iron Man",-1989
Walled In,-2009
Men Behind the Sun,-1988
The Legend of Hell House,-1973
Dracula: Prince of Darkness,-1966
Helter Skelter,-2004
The Breed,-2006
Pinup Dolls on Ice,-2013
The Reptile,-1966
The Island of Dr. Moreau,-1977
Trouble Every Day,-2001
The Believers,-1987
Invaders from Mars,-1986
Alice Sweet Alice,-1976
The Devil's Rock,-2011
Waxwork,-1988
Werewolf Rising,-2014
Ginger Snaps 2: Unleashed,-2004
Dead Birds,-2004
Angst,-1983
Ben,-1972
Chaos,-2005
Just Before Dawn,-1981
Baghead,-2008
Dead & Buried,-1981
Galaxy of Terror,-1981
Cold Prey,-2006
Children of the Corn III: Urban Harvest,-1995
Unrest,-2006
Dark Ride,-2006
Class of 1999,-1989
Ava's Possessions,-2015
The Prowler,-1981
Eyes of Laura Mars,-1978
We Are the Night,-2010
The Strangers 2,-2017
The Terror,-1963
Laid to Rest,-2009
Incarnate,-2015
Dark House,-2014
Cell 213,-2011
Panic Button,-2011
Blood Punch,-2013
Communion,-1989
An American Ghost Story,-2012
Flying Monkeys,-2013
Condemned,-2015
Hell Night,-1981
The Conqueror Worm,-1968
Tasmanian Devils,-2013
Tamara,-2005
House of 9,-2005
Ghoul,-2015
Secrets in the Walls,-2010
Tenebre,-1982
Dracula Has Risen from the Grave,-1968
Lake Fear,-2014
C.H.U.D.,-1984
Vamp U,-2011
Satan's Little Helper,-2004
The Countess,-2009
My Little Eye,-2002
The Visitor,-1979
Scary Stories to Tell in the Dark,-2016
High Lane,-2009
Dragon Wars: D-War,-2007
The Blue Elephant,-2014
It's Alive,-1974
Vampire Circus,-1972
Faust,-1926
The Mountain of the Cannibal God,-1978
Twins of Evil,-1971
Husk,-2011
Cemetery Man,-1994
The Vampire Lovers,-1970
Bride of Re-Animator,-1989
Horsehead,-2014
To the Devil a Daughter,-1976
Pervert!,-2005
Minotaur,-2006
Kantemir,-2015
She Who Brings Gifts,-2016
Primeval,-2007
Dead of Night,-1945
The Legend of Sleepy Hollow,-1999
Snow White: A Tale of Terror,-1997
House II: The Second Story,-1987
From Within,-2008
Joshua,-2007
Dust Devil,-1992
The Guardian,-1990
The Objective,-2008
Silent Night,-2012
Mad Monster Party?,-1967
Critters 2,-1988
Ghost Shark,-2013
Beowulf,-1999
The Veil,-2016
The Curse of Frankenstein,-1957
Private Number,-2014
Pieces,-1982
Ginger Snaps Back: The Beginning,-2004
Burning Bright,-2010
Brainscan,-1994
Classroom 6,-2014
Playback,-2012
The Stepfather,-1987
Zombie Hunter,-2013
Dreamscape,-1984
Theatre of Blood,-1973
The Broken,-2008
White Dog,-1982
Parasyte: Part 1,-2014
Children of the Corn: Genesis,-2011
Antisocial,-2013
The Mummy Resurrected,-2014
It Came from Outer Space,-1953
Body Snatchers,-1993
Godsend,-2004
The Day of the Triffids,-1963
Undead,-2003
Lake Mead,-2015
Nuda per Satana,-1974
Almost Mercy,-2015
Evangeline,-2013
Terror Train,-1980
The Lair of the White Worm,-1988
House of the Long Shadows,-1983
Entity,-2012
Grave Halloween,-2013
Dark Angel,-1990
Transylvania 6-5000,-1985
Body Bags,-1993
Sanitarium,-2013
Infernal,-2015
Scream of the Banshee,-2011
Love Bite,-2012
The Black Cat,-1934
Repossessed,-1990
Piranha Part Two: The Spawning,-1981
Ed Gein,-2000
Run! Bitch Run!,-2009
Dark Night of the Scarecrow,-1981
German Angst,-2015
Psycho IV: The Beginning,-1990
Humanoids from the Deep,-1980
The Most Dangerous Game,-1932
Mary Reilly,-1996
The Road,-2011
Crawlspace,-2013
Julia X,-2011
Heartless,-2009
Omen IV: The Awakening,-1991
Autopsy,-2008
Intruder,-1989
Street Trash,-1987
Under the Bed,-2012
The Eye,-2002
X: The Man with the X-Ray Eyes,-1963
The Wizard of Gore,-1970
Unearthed,-2007
White Zombie,-1932
Squirm,-1976
State of Emergency,-2011
"Devil's Backbone, Texas",-2015
Dead Kansas,-2013
The Demented,-2013
7 Below,-2012
All Hallows Eve: October 30th,-2015
Death House,-2016
Bad Moon,-1996
Willard,-1971
Night of the Demons 2,-1994
The New York Ripper,-1982
Sand Sharks,-2011
The Gathering,-2003
Beneath the Darkness,-2011
Ghost of Goodnight Lane,-2014
Victim,-2010
Livid,-2011
Chopping Mall,-1986
Alligator,-1980
Eye See You,-2002
The Horde,-2009
Babysitter Wanted,-2008
Tokyo Gore Police,-2008
Leprechaun 2,-1994
Onibaba,-1964
Black Sabbath,-1963
Altered,-2006
Tales of Terror,-1962
My Boyfriend's Back,-1993
Wolfen,-1981
Buried Alive,-1990
Superstition,-1982
Tale of the Mummy,-1998
Martin,-1977
Demon Hunter,-2005
Calvaire,-2004
Evolution,-2015
The Final,-2010
